Rank,Drug,CMap_Score,FDA_Status,Target,Mechanism
1,Bimagrumab,0.847,Phase III Clinical Trial,ACVR2B / Myostatin,Anti-myostatin antibody; blocks activin A/myostatin signaling pathway
2,Rapamycin (Sirolimus),0.731,FDA-Approved,mTORC1,mTOR inhibitor; activates autophagy and protein quality control
3,IGF-1 (Mecasermin),0.694,FDA-Approved,IGF1R / PI3K-AKT,Recombinant IGF-1; directly activates anabolic muscle growth pathway
4,Follistatin (FST288),0.672,Investigational,Activin / Myostatin,Endogenous inhibitor of myostatin; preserves muscle mass
5,Testosterone Enanthate,0.621,FDA-Approved,Androgen Receptor,Androgen receptor agonist; promotes muscle protein synthesis
6,Alendronate,0.598,FDA-Approved,Osteoclast FPPS,Bisphosphonate; prevents bone resorption in microgravity
7,Ursolic Acid,0.574,Investigational,IGF1 / Akt,Plant-derived; upregulates IGF1 and Akt signaling in muscle
8,Epicatechin,0.541,Investigational,Myostatin / Follistatin,Flavonoid; reduces myostatin and increases follistatin levels
9,Denosumab,0.518,FDA-Approved,RANKL,Anti-RANKL antibody; prevents osteoclast-mediated bone loss
10,MK-677 (Ibutamoren),0.487,Phase II Clinical Trial,GH / IGF1R,Ghrelin mimetic; stimulates GH/IGF-1 axis and muscle anabolism
